time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.02,0.0,0.0,10.000373279553243,1.419793390944335e-05,8.061684448890105e-07,0.0,0.0,0.0,0.037327955324322135,-0.005328777328627303,0.0012697782838549784,0.0,440.13964680850825,440.4547422859371,441.7272625003618,440.4072350731908
0.04,-1.632888062211702e-09,2.875780729687447e-08,10.001183331064443,1.6323709020937827e-05,3.97215982417265e-05,0.0,-1.6328880622117021e-07,2.875780729687447e-06,0.04367719579570998,0.009415802806740627,-0.0039301955852885555,0.0,411.6086455377032,410.22598117007226,407.94396349727043,411.8741778667841
0.06,-1.0326707067969735e-07,1.2669821126440661e-07,10.002571321316138,0.00022259055895190727,6.283151389461442,0.0,-1.0000129455527394e-05,6.918259667065767e-06,0.09512182937382999,0.0034240094530819526,-0.0007791337579383367,0.0,453.2461136176749,454.00515199394766,454.7141459083556,453.27200887624906
0.08,-2.2533448493359369e-07,7.765257044529139e-07,10.004809529627282,0.00034856709284625254,6.283137989423823,0.0,-2.2066119698622388e-06,5.806448965178496e-05,0.12869900174070203,0.01414747389633869,0.001310190314466858,0.0,437.3848564013024,437.9064841575002,435.29101109795386,437.9743222103979
0.1,-1.4265815042709119e-07,2.871953103617862e-06,10.008101445858754,0.0006315998867592043,6.283184736184269,0.0,1.047424542051249e-05,0.00015147825026470986,0.20049262140641583,0.01373926809976384,-0.005099638724987897,0.0,472.94529822972834,471.4621344031645,472.04586773957897,471.95125060579755
0.12000000000000001,6.848633131562419e-08,7.73723642667639e-06,10.013055755547132,0.0009145975021587205,6.283087799018549,0.0,1.0640202753759047e-05,0.000335050082041143,0.2949383474313949,0.017791984079026907,-0.008279452800810393,0.0,491.8482609425453,491.14147025742363,491.3931562279742,492.29331750904794
0.14,5.100165411054645e-07,1.658362094834935e-05,10.019338234458449,0.0013108732455444638,6.282949017864034,0.0,3.351281822522498e-05,0.0005495883701261529,0.3333095437002148,0.02678487702900622,-0.0009571715305099586,0.0,441.2106905555793,443.02039442788293,440.27805450927497,442.5040879217363
0.16,1.6904981413085174e-06,3.040598779499637e-05,10.026201747669338,0.0018574593730233957,6.282947446080033,0.0,8.45353417950803e-05,0.0008326483145385491,0.3530417773889015,0.03145147898309967,-0.006885349430890585,0.0,424.84065337634644,423.31329612663217,423.06366204329015,424.26736647049546
0.18,3.911418144991489e-06,5.119939067520129e-05,10.033529666678518,0.0025331910378927347,6.282813551087095,0.0,0.00013755665857321684,0.001246691973481943,0.3797501235291675,0.041116062285748496,-0.004124191819281375,0.0,429.9289748025143,430.63023197300197,429.84198127506005,432.29204246312537
0.19999999999999998,7.6038132460425e-06,8.254709541013877e-05,10.04169459501456,0.0033575890949215648,6.282731432600432,0.0,0.0002316828515318842,0.0018880785000118046,0.4367427100749238,0.03907801846211128,-0.003269382221751785,0.0,459.52838413238777,459.7316660847517,458.61441722114756,458.12944433160317
0.21999999999999997,1.3467421568665462e-05,0.00012940735224057102,10.051177326208947,0.004144789772641211,6.282697346596315,0.0,0.0003546779807304121,0.0027979471830314206,0.5115304093636993,0.03571935549070904,-0.011181605716756027,0.0,476.29206921250375,474.4735776819029,474.7832323651333,474.0103237011264
0.23999999999999996,2.186291394842934e-05,0.00019642501890555143,10.062114021887425,0.00486873008623423,6.282474029618221,0.0,0.00048487125724597566,0.0039038194834666185,0.5821391584839528,0.03134826780487698,-0.010387708694709995,0.0,471.4238772323888,471.60797683544814,471.5530675039957,470.53964213885456
0.25999999999999995,3.3307135695031015e-05,0.0002864582634551048,10.074250633444114,0.005495912870326691,6.282395984945886,0.0,0.0006595509174141918,0.005099504971488716,0.6315219971849817,0.03200770392000276,-0.026494198166991126,0.0,454.14387432492725,450.25221671407263,452.1941434082693,452.35378171695794
0.27999999999999997,4.842011128724749e-05,0.00040183053425391747,10.087353982545665,0.006155420704858194,6.28186812781605,0.0,0.000851746641807456,0.0064377221083925466,0.6788129129700512,0.025786167754161985,-0.02850757021610502,0.0,450.5214629157142,450.0327572997003,451.2101886653719,449.701430657197
0.3,6.821806376236933e-05,0.0005434969619110135,10.101065878971685,0.006730809124359638,6.281300271160834,0.0,0.0011280486057047277,0.007728920657317059,0.692376729631901,0.03671000081934119,-0.026365258798102705,0.0,417.4939378473734,418.05395763158793,417.05918313127614,419.91152591010314
0.32,9.52405761409597e-05,0.0007140058052059585,10.11531817685993,0.007498523864444273,6.2807795217553615,0.0,0.0015742026321543092,0.009321963672177438,0.7328530591924672,0.028522849459052816,-0.029986244986774407,0.0,443.87549739020864,442.9831077286724,445.7893984817066,443.7787792236323
0.34,0.00013176448979783132,0.0009161534345187835,10.130108067330092,0.008070553618693133,6.280259791040763,0.0,0.002078188733532852,0.010892799259105065,0.7461359878237588,0.026749285212947605,-0.01733759405983712,0.0,415.97557862775864,419.28452042213905,418.45748842522715,417.99441027344255
0.36000000000000004,0.00017949426606821335,0.0011510190856223006,10.145176375273497,0.008615907410876034,6.279925550005732,0.0,0.0026947888935053513,0.012593765851246651,0.7606948065167599,0.022195586074105062,-0.012335425297219954,0.0,418.4466797049205,419.75087653829746,419.9294699805258,418.74313055913706
0.38000000000000006,0.00024163671889157083,0.0014246907879761274,10.160958011942114,0.009067046172638982,6.279678883024083,0.0,0.003519456388830398,0.014773404384136015,0.8174688603449911,0.025997438328200083,-0.012047243775592348,0.0,459.4474930461062,459.5161494343236,458.48183506768345,459.3870007058581
