Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA
E0,25/09/16,West Ham,Southampton,0,3,A,0,1,A,J Moss,13,18,1,9,9,14,6,2,5,2,0,0,2.8,3.3,2.75,2.8,3.3,2.7,2.7,3.3,2.6,2.8,3.25,2.7,2.83,3.35,2.72,2.8,3.2,2.7
E0,26/09/16,Burnley,Watford,2,0,H,1,0,H,M Jones,13,12,4,3,11,15,7,6,1,3,0,0,2.9,3.2,2.7,2.9,3.2,2.65,2.65,3.3,2.65,2.9,3.2,2.62,3.09,3.21,2.59,2.75,3.25,2.7
E0,30/09/16,Everton,Crystal Palace,1,1,D,1,0,H,J Moss,13,10,3,2,16,11,10,9,5,4,0,0,1.73,4,5,1.72,3.75,5,1.75,3.6,4.8,1.73,3.9,5,1.74,3.95,5.25,1.75,3.8,5
E0,01/10/16,Hull,Chelsea,0,2,A,0,0,D,A Taylor,8,22,3,9,13,15,5,7,2,2,0,0,7.5,4.5,1.5,7,4.5,1.45,6.5,4.2,1.5,7,4.4,1.5,7.68,4.63,1.48,7,4.33,1.5
E0,01/10/16,Sunderland,West Brom,1,1,D,0,1,A,S Attwell,7,17,2,7,7,13,6,5,1,3,0,0,2.5,3.25,3.2,2.45,3.1,3.1,2.5,3.3,2.85,2.4,3.2,3.25,2.47,3.24,3.26,2.5,3.1,3.2
E0,01/10/16,Swansea,Liverpool,1,2,A,1,0,H,M Oliver,8,18,3,6,11,9,3,10,2,2,0,0,8,4.75,1.45,7,4.5,1.45,7,4.5,1.45,7.5,4.75,1.44,8.44,4.92,1.43,8,4.5,1.44
E0,01/10/16,Watford,Bournemouth,2,2,D,0,1,A,M Dean,17,11,7,2,17,12,4,5,3,4,0,0,2.38,3.3,3.3,2.3,3.25,3.25,2.2,3.15,3.5,2.38,3.25,3.25,2.42,3.32,3.27,2.4,3.2,3.2
E0,01/10/16,West Ham,Middlesbrough,1,1,D,0,0,D,N Swarbrick,19,9,2,3,13,12,4,5,2,3,0,0,2.25,3.4,3.5,2.1,3.4,3.6,2.1,3.4,3.5,2.2,3.4,3.5,2.23,3.35,3.66,2.3,3.3,3.3
E0,02/10/16,Burnley,Arsenal,0,1,A,0,0,D,C Pawson,10,18,1,3,2,3,2,6,0,0,0,0,9,5,1.4,8.5,5,1.36,7.5,4.8,1.4,9,4.75,1.4,10.17,5.13,1.38,9.5,4.5,1.4
E0,02/10/16,Leicester,Southampton,0,0,D,0,0,D,M Atkinson,9,11,1,5,9,9,3,6,1,0,0,0,2.25,3.4,3.5,2.2,3.3,3.4,2.1,3.4,3.5,2.25,3.4,3.4,2.24,3.35,3.63,2.25,3.25,3.5
E0,02/10/16,Man United,Stoke,1,1,D,0,0,D,R Madley,24,7,9,6,14,9,13,2,3,0,0,0,1.33,5.75,10,1.3,5.5,10,1.33,5.5,8.2,1.33,5.5,10,1.35,5.46,10.61,1.33,5,11
E0,02/10/16,Tottenham,Man City,2,0,H,2,0,H,A Marriner,13,12,7,6,20,10,4,3,2,2,0,0,3,3.5,2.5,3,3.4,2.35,3.35,3.3,2.2,3.1,3.4,2.4,2.99,3.54,2.48,3,3.4,2.4
E0,15/10/16,Arsenal,Swansea,3,2,H,2,1,H,J Moss,16,13,6,6,7,10,5,6,0,1,1,0,1.29,6.5,11,1.26,6.25,10,1.25,6,11,1.29,5.75,12,1.28,6.15,12.8,1.29,5.5,12
E0,15/10/16,Bournemouth,Hull,6,1,H,3,1,H,L Mason,22,11,10,4,8,14,5,4,0,3,0,0,1.85,3.5,5,1.8,3.5,4.75,1.85,3.5,4.3,1.85,3.5,4.75,1.83,3.61,5.05,1.85,3.4,4.8
